English,Emoji,emoji_list
dirty dish,[EM]fork and knife with plate[EM]anxious face with sweat[EM]thumbs down[EM],"[':fork_and_knife_with_plate:', ':anxious_face_with_sweat:', ':thumbs_down:']"
dirty dish,[EM]soap[EM]fork and knife with plate[EM],"[':soap:', ':fork_and_knife_with_plate:']"
dirty dish,[EM]face vomiting[EM]fork and knife with plate[EM],"[':face_vomiting:', ':fork_and_knife_with_plate:']"
dirty dish,[EM]pile of poo[EM]fork and knife with plate[EM],"[':pile_of_poo:', ':fork_and_knife_with_plate:']"
dirty dish,[EM]face vomiting[EM]fork and knife with plate[EM],"[':face_vomiting:', ':fork_and_knife_with_plate:']"
dirty dish,[EM]soap[EM]fork and knife with plate[EM]petri dish[EM],"[':soap:', ':fork_and_knife_with_plate:', ':petri_dish:']"
dirty slum,[EM]thumbs down[EM]derelict house[EM],"[':thumbs_down:', ':derelict_house:']"
dirty slum,[EM]fly[EM]house[EM],"[':fly:', ':house:']"
dirty slum,[EM]microbe[EM]hut[EM]microbe[EM],"[':microbe:', ':hut:', ':microbe:']"
dirty slum,[EM]soap[EM]microbe[EM]derelict house[EM],"[':soap:', ':microbe:', ':derelict_house:']"
dirty slum,[EM]face vomiting[EM]hut[EM],"[':face_vomiting:', ':hut:']"
dirty slum,[EM]pile of poo[EM]money with wings[EM]house[EM],"[':pile_of_poo:', ':money_with_wings:', ':house:']"
dirty slum,[EM]woozy face[EM]man zombie[EM],"[':woozy_face:', ':man_zombie:']"
dirty slum,[EM]persevering face[EM]no one under eighteen[EM]money with wings[EM],"[':persevering_face:', ':no_one_under_eighteen:', ':money_with_wings:']"
dirty work,[EM]thumbs down[EM]memo[EM],"[':thumbs_down:', ':memo:']"
dirty work,[EM]oncoming police car[EM]page with curl[EM],"[':oncoming_police_car:', ':page_with_curl:']"
dirty work,[EM]plunger[EM]toilet[EM]broom[EM]money bag[EM]old woman[EM]old man[EM],"[':plunger:', ':toilet:', ':broom:', ':money_bag:', ':old_woman:', ':old_man:']"
dirty work,[EM]microbe[EM]briefcase[EM],"[':microbe:', ':briefcase:']"
dirty work,[EM]face vomiting[EM]hammer and wrench[EM],"[':face_vomiting:', ':hammer_and_wrench:']"
dirty work,[EM]pile of poo[EM]rescue worker’s helmet[EM]briefcase[EM],"[':pile_of_poo:', ':rescue_worker’s_helmet:', ':briefcase:']"
dirty work,[EM]unamused face[EM]luggage[EM],"[':unamused_face:', ':luggage:']"
dirty work,[EM]toilet[EM]construction worker[EM]hammer and wrench[EM],"[':toilet:', ':construction_worker:', ':hammer_and_wrench:']"
dirty money,[EM]thumbs down[EM]money bag[EM],"[':thumbs_down:', ':money_bag:']"
dirty money,[EM]money-mouth face[EM]money with wings[EM]supervillain[EM],"[':money-mouth_face:', ':money_with_wings:', ':supervillain:']"
dirty money,[EM]smiling face with horns[EM]dollar banknote[EM]dollar banknote[EM]prohibited[EM]backhand index pointing right[EM]police officer[EM],"[':smiling_face_with_horns:', ':dollar_banknote:', ':dollar_banknote:', ':prohibited:', ':backhand_index_pointing_right:', ':police_officer:']"
dirty money,[EM]microbe[EM]zipper-mouth face[EM]money-mouth face[EM]money with wings[EM]microbe[EM],"[':microbe:', ':zipper-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':microbe:']"
dirty money,[EM]face vomiting[EM]dollar banknote[EM],"[':face_vomiting:', ':dollar_banknote:']"
dirty money,[EM]pile of poo[EM]dollar banknote[EM]money bag[EM],"[':pile_of_poo:', ':dollar_banknote:', ':money_bag:']"
dirty money,[EM]unamused face[EM]money bag[EM],"[':unamused_face:', ':money_bag:']"
dirty money,[EM]police car[EM]stop sign[EM]dollar banknote[EM]dollar banknote[EM]dollar banknote[EM],"[':police_car:', ':stop_sign:', ':dollar_banknote:', ':dollar_banknote:', ':dollar_banknote:']"
dirty overall,[EM]thumbs down[EM]coat[EM],"[':thumbs_down:', ':coat:']"
dirty overall,[EM]nauseated face[EM]face vomiting[EM]unamused face[EM],"[':nauseated_face:', ':face_vomiting:', ':unamused_face:']"
dirty overall,[EM]face with spiral eyes[EM]confounded face[EM]backhand index pointing right[EM]bathtub[EM],"[':face_with_spiral_eyes:', ':confounded_face:', ':backhand_index_pointing_right:', ':bathtub:']"
dirty overall,[EM]soap[EM]t-shirt[EM],"[':soap:', ':t-shirt:']"
dirty overall,[EM]face vomiting[EM]dress[EM]woman’s clothes[EM],"[':face_vomiting:', ':dress:', ':woman’s_clothes:']"
dirty overall,[EM]pile of poo[EM]kimono[EM],"[':pile_of_poo:', ':kimono:']"
dirty overall,[EM]man standing[EM]nauseated face[EM],"[':man_standing:', ':nauseated_face:']"
dirty overall,[EM]pile of poo[EM]jeans[EM],"[':pile_of_poo:', ':jeans:']"
dirty fighter,[EM]thumbs down[EM]boxing glove[EM],"[':thumbs_down:', ':boxing_glove:']"
dirty fighter,[EM]face with symbols on mouth[EM]pouting face[EM],"[':face_with_symbols_on_mouth:', ':pouting_face:']"
dirty fighter,[EM]cross mark[EM]balance scale[EM]flexed biceps[EM]man bald[EM]anger symbol[EM],"[':cross_mark:', ':balance_scale:', ':flexed_biceps:', ':man_bald:', ':anger_symbol:']"
dirty fighter,[EM]face with symbols on mouth[EM]men wrestling[EM],"[':face_with_symbols_on_mouth:', ':men_wrestling:']"
dirty fighter,[EM]face vomiting[EM]martial arts uniform[EM],"[':face_vomiting:', ':martial_arts_uniform:']"
dirty fighter,[EM]pile of poo[EM]oncoming fist[EM]boxing glove[EM],"[':pile_of_poo:', ':oncoming_fist:', ':boxing_glove:']"
dirty fighter,[EM]expressionless face[EM]unamused face[EM]boxing glove[EM],"[':expressionless_face:', ':unamused_face:', ':boxing_glove:']"
dirty fighter,[EM]angry face with horns[EM]oncoming fist[EM]boxing glove[EM]people wrestling[EM],"[':angry_face_with_horns:', ':oncoming_fist:', ':boxing_glove:', ':people_wrestling:']"
common procedure,[EM]desktop computer[EM],[':desktop_computer:']
common procedure,[EM]grimacing face[EM]clipboard[EM]keycap 1[EM]keycap 2[EM]keycap 3[EM],"[':grimacing_face:', ':clipboard:', ':keycap_1:', ':keycap_2:', ':keycap_3:']"
common procedure,[EM]busts in silhouette[EM]clockwise vertical arrows[EM],"[':busts_in_silhouette:', ':clockwise_vertical_arrows:']"
common procedure,[EM]play button[EM]ladder[EM],"[':play_button:', ':ladder:']"
common procedure,[EM]palms up together[EM]writing hand[EM],"[':palms_up_together:', ':writing_hand:']"
common procedure,[EM]screwdriver[EM]wrench[EM]handshake[EM],"[':screwdriver:', ':wrench:', ':handshake:']"
common procedure,[EM]busts in silhouette[EM]syringe[EM]stethoscope[EM]adhesive bandage[EM]drop of blood[EM]health worker[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':syringe:', ':stethoscope:', ':adhesive_bandage:', ':drop_of_blood:', ':health_worker:', ':busts_in_silhouette:']"
common procedure,[EM]counterclockwise arrows button[EM]health worker[EM]syringe[EM],"[':counterclockwise_arrows_button:', ':health_worker:', ':syringe:']"
common knowledge,[EM]face with monocle[EM]brain[EM],"[':face_with_monocle:', ':brain:']"
common knowledge,[EM]brain[EM]thinking face[EM]unamused face[EM],"[':brain:', ':thinking_face:', ':unamused_face:']"
common knowledge,[EM]busts in silhouette[EM]books[EM],"[':busts_in_silhouette:', ':books:']"
common knowledge,[EM]play button[EM]brain[EM],"[':play_button:', ':brain:']"
common knowledge,[EM]palms up together[EM]brain[EM],"[':palms_up_together:', ':brain:']"
common knowledge,[EM]disguised face[EM]woman and man holding hands[EM]palms up together[EM],"[':disguised_face:', ':woman_and_man_holding_hands:', ':palms_up_together:']"
common knowledge,[EM]busts in silhouette[EM]books[EM]open book[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':books:', ':open_book:', ':busts_in_silhouette:']"
common knowledge,[EM]brain[EM]brain[EM]globe showing Americas[EM],"[':brain:', ':brain:', ':globe_showing_Americas:']"
common land,[EM]national park[EM],[':national_park:']
common land,[EM]cityscape at dusk[EM]cityscape[EM]bridge at night[EM]desert island[EM],"[':cityscape_at_dusk:', ':cityscape:', ':bridge_at_night:', ':desert_island:']"
common land,[EM]busts in silhouette[EM]mountain[EM],"[':busts_in_silhouette:', ':mountain:']"
common land,[EM]play button[EM]brick[EM],"[':play_button:', ':brick:']"
common land,[EM]palms up together[EM]cityscape at dusk[EM],"[':palms_up_together:', ':cityscape_at_dusk:']"
common land,[EM]handshake[EM]desert island[EM],"[':handshake:', ':desert_island:']"
common land,[EM]busts in silhouette[EM]desert island[EM]raising hands[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':desert_island:', ':raising_hands:', ':busts_in_silhouette:']"
common land,[EM]globe showing Americas[EM]Åland Islands[EM]British Indian Ocean Territory[EM]British Virgin Islands[EM]Caribbean Netherlands[EM]Caribbean Netherlands[EM]Cayman Islands[EM],"[':globe_showing_Americas:', ':Åland_Islands:', ':British_Indian_Ocean_Territory:', ':British_Virgin_Islands:', ':Caribbean_Netherlands:', ':Caribbean_Netherlands:', ':Cayman_Islands:']"
common nuisance,[EM]face with symbols on mouth[EM],[':face_with_symbols_on_mouth:']
common nuisance,[EM]unamused face[EM]unamused face[EM],"[':unamused_face:', ':unamused_face:']"
common nuisance,[EM]busts in silhouette[EM]weary face[EM],"[':busts_in_silhouette:', ':weary_face:']"
common nuisance,[EM]face with thermometer[EM]face with head-bandage[EM],"[':face_with_thermometer:', ':face_with_head-bandage:']"
common nuisance,[EM]palms up together[EM]man gesturing NO[EM],"[':palms_up_together:', ':man_gesturing_NO:']"
common nuisance,[EM]unamused face[EM]anger symbol[EM]man frowning[EM],"[':unamused_face:', ':anger_symbol:', ':man_frowning:']"
common nuisance,[EM]busts in silhouette[EM]fly[EM]cockroach[EM]spider[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':fly:', ':cockroach:', ':spider:', ':busts_in_silhouette:']"
common nuisance,[EM]squinting face with tongue[EM]squinting face with tongue[EM]counterclockwise arrows button[EM],"[':squinting_face_with_tongue:', ':squinting_face_with_tongue:', ':counterclockwise_arrows_button:']"
common sailor,[EM]sailboat[EM]man light skin tone[EM]anchor[EM],"[':sailboat:', ':man_light_skin_tone:', ':anchor:']"
common sailor,[EM]ship[EM]anchor[EM]men holding hands[EM],"[':ship:', ':anchor:', ':men_holding_hands:']"
common sailor,[EM]busts in silhouette[EM]man blond hair[EM]sailboat[EM],"[':busts_in_silhouette:', ':man_blond_hair:', ':sailboat:']"
common sailor,[EM]play button[EM]sailboat[EM],"[':play_button:', ':sailboat:']"
common sailor,[EM]palms up together[EM]sailboat[EM]man[EM],"[':palms_up_together:', ':sailboat:', ':man:']"
common sailor,[EM]speedboat[EM]boy[EM],"[':speedboat:', ':boy:']"
common sailor,[EM]man pilot[EM]anchor[EM],"[':man_pilot:', ':anchor:']"
common sailor,[EM]pilot[EM]speedboat[EM],"[':pilot:', ':speedboat:']"
common housefly,[EM]fly[EM],[':fly:']
common housefly,[EM]fly[EM]neutral face[EM],"[':fly:', ':neutral_face:']"
common housefly,[EM]busts in silhouette[EM]fly[EM],"[':busts_in_silhouette:', ':fly:']"
common housefly,[EM]houses[EM]houses[EM]houses[EM]fly[EM]fly[EM]fly[EM]fly[EM]fly[EM],"[':houses:', ':houses:', ':houses:', ':fly:', ':fly:', ':fly:', ':fly:', ':fly:']"
common housefly,[EM]palms up together[EM]fly[EM],"[':palms_up_together:', ':fly:']"
common housefly,[EM]fly[EM],[':fly:']
common housefly,[EM]busts in silhouette[EM]busts in silhouette[EM]fly[EM],"[':busts_in_silhouette:', ':busts_in_silhouette:', ':fly:']"
common housefly,[EM]house[EM]fly[EM],"[':house:', ':fly:']"
common man,[EM]man light skin tone[EM],[':man_light_skin_tone:']
common man,[EM]person standing[EM]person standing[EM]person shrugging[EM],"[':person_standing:', ':person_standing:', ':person_shrugging:']"
common man,[EM]busts in silhouette[EM]man standing[EM],"[':busts_in_silhouette:', ':man_standing:']"
common man,[EM]play button[EM]boy[EM]boy[EM]boy[EM],"[':play_button:', ':boy:', ':boy:', ':boy:']"
common man,[EM]palms up together[EM]man[EM],"[':palms_up_together:', ':man:']"
common man,[EM]man[EM],[':man:']
common man,[EM]man[EM]man[EM]man[EM]man[EM],"[':man:', ':man:', ':man:', ':man:']"
common man,[EM]man[EM]person curly hair[EM]man curly hair[EM],"[':man:', ':person_curly_hair:', ':man_curly_hair:']"
common parlance,[EM]woman office worker[EM]speaking head[EM]briefcase[EM],"[':woman_office_worker:', ':speaking_head:', ':briefcase:']"
common parlance,[EM]speaking head[EM]check mark button[EM]OK button[EM],"[':speaking_head:', ':check_mark_button:', ':OK_button:']"
common parlance,[EM]busts in silhouette[EM]speaking head[EM],"[':busts_in_silhouette:', ':speaking_head:']"
common parlance,[EM]play button[EM]speaking head[EM],"[':play_button:', ':speaking_head:']"
common parlance,[EM]palms up together[EM]handshake[EM],"[':palms_up_together:', ':handshake:']"
common parlance,[EM]clapping hands[EM]boy[EM]person curly hair[EM],"[':clapping_hands:', ':boy:', ':person_curly_hair:']"
common parlance,[EM]speaking head[EM]left-right arrow[EM]speaking head[EM],"[':speaking_head:', ':left-right_arrow:', ':speaking_head:']"
common parlance,[EM]notebook[EM]notebook with decorative cover[EM]speech balloon[EM]thought balloon[EM],"[':notebook:', ':notebook_with_decorative_cover:', ':speech_balloon:', ':thought_balloon:']"
common brand,[EM]handbag[EM],[':handbag:']
common brand,[EM]glasses[EM]clutch bag[EM]dress[EM]necktie[EM]copyright[EM],"[':glasses:', ':clutch_bag:', ':dress:', ':necktie:', ':copyright:']"
common brand,[EM]busts in silhouette[EM]woman tipping hand light skin tone[EM]handbag[EM],"[':busts_in_silhouette:', ':woman_tipping_hand_light_skin_tone:', ':handbag:']"
common brand,[EM]play button[EM]shopping cart[EM]purse[EM],"[':play_button:', ':shopping_cart:', ':purse:']"
common brand,[EM]palms up together[EM]mobile phone[EM],"[':palms_up_together:', ':mobile_phone:']"
common brand,[EM]down-right arrow[EM]down-left arrow[EM],"[':down-right_arrow:', ':down-left_arrow:']"
common brand,[EM]busts in silhouette[EM]luggage[EM]purse[EM]briefcase[EM]backpack[EM]handbag[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':luggage:', ':purse:', ':briefcase:', ':backpack:', ':handbag:', ':busts_in_silhouette:']"
common brand,[EM]shopping bags[EM]shopping bags[EM]counterclockwise arrows button[EM],"[':shopping_bags:', ':shopping_bags:', ':counterclockwise_arrows_button:']"
heavy metal,[EM]sign of the horns[EM],[':sign_of_the_horns:']
heavy metal,[EM]person lifting weights[EM]gear[EM],"[':person_lifting_weights:', ':gear:']"
heavy metal,[EM]balance scale[EM]link[EM],"[':balance_scale:', ':link:']"
heavy metal,[EM]person lifting weights light skin tone[EM]hammer and wrench[EM]anchor[EM]link[EM]nut and bolt[EM]crossed swords[EM],"[':person_lifting_weights_light_skin_tone:', ':hammer_and_wrench:', ':anchor:', ':link:', ':nut_and_bolt:', ':crossed_swords:']"
heavy metal,[EM]hammer and pick[EM]chains[EM],"[':hammer_and_pick:', ':chains:']"
heavy metal,[EM]downcast face with sweat[EM]rock[EM],"[':downcast_face_with_sweat:', ':rock:']"
heavy metal,[EM]balance scale[EM]gear[EM],"[':balance_scale:', ':gear:']"
heavy load,[EM]package[EM]package[EM]package[EM]package[EM]package[EM]package[EM]package[EM]package[EM]package[EM]multiply[EM]hundred points[EM],"[':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':multiply:', ':hundred_points:']"
heavy load,[EM]person lifting weights[EM]backpack[EM],"[':person_lifting_weights:', ':backpack:']"
heavy load,[EM]man lifting weights[EM]package[EM],"[':man_lifting_weights:', ':package:']"
heavy load,[EM]person lifting weights light skin tone[EM]tractor[EM]luggage[EM],"[':person_lifting_weights_light_skin_tone:', ':tractor:', ':luggage:']"
heavy load,[EM]collision[EM]person lifting weights[EM],"[':collision:', ':person_lifting_weights:']"
heavy load,[EM]downcast face with sweat[EM]package[EM],"[':downcast_face_with_sweat:', ':package:']"
heavy load,[EM]flexed biceps[EM]purse[EM],"[':flexed_biceps:', ':purse:']"
heavy fog,[EM]fog[EM]foggy[EM]multiply[EM]hundred points[EM],"[':fog:', ':foggy:', ':multiply:', ':hundred_points:']"
heavy fog,[EM]fog[EM]fog[EM],"[':fog:', ':fog:']"
heavy fog,[EM]man lifting weights[EM]fog[EM],"[':man_lifting_weights:', ':fog:']"
heavy fog,[EM]fog[EM]face in clouds[EM],"[':fog:', ':face_in_clouds:']"
heavy fog,[EM]fog[EM]face with raised eyebrow[EM],"[':fog:', ':face_with_raised_eyebrow:']"
heavy fog,[EM]downcast face with sweat[EM]face in clouds[EM],"[':downcast_face_with_sweat:', ':face_in_clouds:']"
heavy fog,[EM]fog[EM]dashing away[EM],"[':fog:', ':dashing_away:']"
full game,[EM]hundred points[EM]FREE button[EM]video game[EM],"[':hundred_points:', ':FREE_button:', ':video_game:']"
full game,[EM]bullseye[EM]basketball[EM],"[':bullseye:', ':basketball:']"
full game,[EM]video game[EM]hundred points[EM],"[':video_game:', ':hundred_points:']"
full game,[EM]video game[EM]chequered flag[EM],"[':video_game:', ':chequered_flag:']"
full game,[EM]thumbs up[EM]video game[EM],"[':thumbs_up:', ':video_game:']"
full game,[EM]twelve o’clock[EM]alien monster[EM],"[':twelve_o’clock:', ':alien_monster:']"
full game,[EM]video game[EM]men holding hands[EM]men holding hands[EM],"[':video_game:', ':men_holding_hands:', ':men_holding_hands:']"
full auditorium,[EM]ticket[EM]person[EM]man[EM]person curly hair[EM]woman curly hair[EM]Japanese no vacancy button[EM],"[':ticket:', ':person:', ':man:', ':person_curly_hair:', ':woman_curly_hair:', ':Japanese_no_vacancy_button:']"
full auditorium,[EM]man standing[EM]man standing[EM]man standing[EM]man standing[EM]man standing[EM]man standing[EM]man standing[EM]man standing[EM]man standing[EM]synagogue[EM],"[':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':synagogue:']"
full auditorium,[EM]woman technologist[EM]man technologist[EM]school[EM],"[':woman_technologist:', ':man_technologist:', ':school:']"
full auditorium,[EM]cross mark[EM]flying saucer[EM]stadium[EM],"[':cross_mark:', ':flying_saucer:', ':stadium:']"
full auditorium,[EM]Japanese no vacancy button[EM]school[EM],"[':Japanese_no_vacancy_button:', ':school:']"
full auditorium,[EM]fuel pump[EM]school[EM],"[':fuel_pump:', ':school:']"
full auditorium,[EM]admission tickets[EM]admission tickets[EM]performing arts[EM],"[':admission_tickets:', ':admission_tickets:', ':performing_arts:']"
full attention,[EM]hundred points[EM]red exclamation mark[EM],"[':hundred_points:', ':red_exclamation_mark:']"
full attention,[EM]woman[EM]face with monocle[EM]exploding head[EM],"[':woman:', ':face_with_monocle:', ':exploding_head:']"
full attention,[EM]hundred points[EM]red exclamation mark[EM],"[':hundred_points:', ':red_exclamation_mark:']"
full attention,[EM]nerd face[EM]man technologist[EM]man teacher[EM]man student[EM],"[':nerd_face:', ':man_technologist:', ':man_teacher:', ':man_student:']"
full attention,[EM]face with monocle[EM]writing hand[EM],"[':face_with_monocle:', ':writing_hand:']"
full attention,[EM]man pilot[EM],[':man_pilot:']
full attention,[EM]man raising hand[EM]ear with hearing aid[EM]school[EM],"[':man_raising_hand:', ':ear_with_hearing_aid:', ':school:']"
full glass,[EM]glass of milk[EM]plus[EM]potable water[EM]potable water[EM]potable water[EM]potable water[EM]potable water[EM]Japanese no vacancy button[EM],"[':glass_of_milk:', ':plus:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':Japanese_no_vacancy_button:']"
full glass,[EM]glass of milk[EM]Japanese no vacancy button[EM],"[':glass_of_milk:', ':Japanese_no_vacancy_button:']"
full glass,[EM]hundred points[EM]glass of milk[EM],"[':hundred_points:', ':glass_of_milk:']"
full glass,[EM]potable water[EM]glass of milk[EM],"[':potable_water:', ':glass_of_milk:']"
full glass,[EM]potable water[EM]check mark button[EM],"[':potable_water:', ':check_mark_button:']"
full glass,[EM]beer mug[EM],[':beer_mug:']
full glass,[EM]glass of milk[EM]clinking glasses[EM],"[':glass_of_milk:', ':clinking_glasses:']"
full life,[EM]heart suit[EM]family man woman girl boy[EM]briefcase[EM]money bag[EM]money bag[EM]money bag[EM]hundred points[EM],"[':heart_suit:', ':family_man_woman_girl_boy:', ':briefcase:', ':money_bag:', ':money_bag:', ':money_bag:', ':hundred_points:']"
full life,[EM]moon viewing ceremony[EM]snow-capped mountain[EM]sunrise over mountains[EM],"[':moon_viewing_ceremony:', ':snow-capped_mountain:', ':sunrise_over_mountains:']"
full life,[EM]smiling face with hearts[EM]smiling face[EM]house with garden[EM],"[':smiling_face_with_hearts:', ':smiling_face:', ':house_with_garden:']"
full life,[EM]party popper[EM]smiling face with smiling eyes[EM]relieved face[EM]smiling face with open hands[EM]partying face[EM]star-struck[EM],"[':party_popper:', ':smiling_face_with_smiling_eyes:', ':relieved_face:', ':smiling_face_with_open_hands:', ':partying_face:', ':star-struck:']"
full life,[EM]smiling face with smiling eyes[EM]heart suit[EM],"[':smiling_face_with_smiling_eyes:', ':heart_suit:']"
full life,[EM]hot face[EM]rolling on the floor laughing[EM]hot face[EM]rolling on the floor laughing[EM],"[':hot_face:', ':rolling_on_the_floor_laughing:', ':hot_face:', ':rolling_on_the_floor_laughing:']"
full life,[EM]grinning squinting face[EM]partying face[EM]couple with heart[EM],"[':grinning_squinting_face:', ':partying_face:', ':couple_with_heart:']"
little boy,[EM]boy[EM],[':boy:']
little boy,[EM]boy[EM]person standing[EM],"[':boy:', ':person_standing:']"
little boy,[EM]pinching hand[EM]baby[EM]boy[EM],"[':pinching_hand:', ':baby:', ':boy:']"
little boy,[EM]boy[EM],[':boy:']
little boy,[EM]backhand index pointing down light skin tone[EM]boy[EM],"[':backhand_index_pointing_down_light_skin_tone:', ':boy:']"
little boy,[EM]boy[EM]backhand index pointing left[EM]baby[EM],"[':boy:', ':backhand_index_pointing_left:', ':baby:']"
little boy,[EM]boy light skin tone[EM],[':boy_light_skin_tone:']
little boy,[EM]pinching hand[EM]boy[EM],"[':pinching_hand:', ':boy:']"
little man,[EM]man beard[EM],[':man_beard:']
little man,[EM]person standing[EM]up-down arrow[EM]pinching hand[EM],"[':person_standing:', ':up-down_arrow:', ':pinching_hand:']"
little man,[EM]boy[EM]person red hair[EM],"[':boy:', ':person_red_hair:']"
little man,[EM]pinching hand[EM]man standing[EM],"[':pinching_hand:', ':man_standing:']"
little man,[EM]backhand index pointing down light skin tone[EM]man walking[EM],"[':backhand_index_pointing_down_light_skin_tone:', ':man_walking:']"
little man,[EM]flexed biceps[EM]boy[EM],"[':flexed_biceps:', ':boy:']"
little man,[EM]pinching hand light skin tone[EM]man light skin tone[EM],"[':pinching_hand_light_skin_tone:', ':man_light_skin_tone:']"
little man,[EM]pinching hand[EM]man blond hair[EM],"[':pinching_hand:', ':man_blond_hair:']"
little house,[EM]house[EM],[':house:']
little house,[EM]house[EM]up-down arrow[EM]pinching hand[EM],"[':house:', ':up-down_arrow:', ':pinching_hand:']"
little house,[EM]house[EM]downwards button[EM],"[':house:', ':downwards_button:']"
little house,[EM]pinching hand[EM]house with garden[EM],"[':pinching_hand:', ':house_with_garden:']"
little house,[EM]framed picture[EM]house with garden[EM],"[':framed_picture:', ':house_with_garden:']"
little house,[EM]derelict house[EM],[':derelict_house:']
little house,[EM]pinching hand light skin tone[EM]house[EM],"[':pinching_hand_light_skin_tone:', ':house:']"
little house,[EM]pinching hand[EM]house[EM],"[':pinching_hand:', ':house:']"
ample food,[EM]hamburger[EM]hot dog[EM]taco[EM]smiling face with smiling eyes[EM],"[':hamburger:', ':hot_dog:', ':taco:', ':smiling_face_with_smiling_eyes:']"
ample food,[EM]family woman woman girl girl[EM]family man man girl girl[EM]family man woman girl girl[EM]fork and knife with plate[EM]hundred points[EM],"[':family_woman_woman_girl_girl:', ':family_man_man_girl_girl:', ':family_man_woman_girl_girl:', ':fork_and_knife_with_plate:', ':hundred_points:']"
ample food,[EM]rice ball[EM]cooked rice[EM]rice cracker[EM]steaming bowl[EM],"[':rice_ball:', ':cooked_rice:', ':rice_cracker:', ':steaming_bowl:']"
ample food,[EM]baguette bread[EM]pancakes[EM]canned food[EM]curry rice[EM]pot of food[EM],"[':baguette_bread:', ':pancakes:', ':canned_food:', ':curry_rice:', ':pot_of_food:']"
ample food,[EM]OK hand light skin tone[EM]fork and knife with plate[EM]red apple[EM],"[':OK_hand_light_skin_tone:', ':fork_and_knife_with_plate:', ':red_apple:']"
ample food,[EM]green apple[EM]red apple[EM]pear[EM]tangerine[EM]potato[EM]roasted sweet potato[EM]croissant[EM]bagel[EM]bread[EM]flatbread[EM]peach[EM]coconut[EM]kiwi fruit[EM],"[':green_apple:', ':red_apple:', ':pear:', ':tangerine:', ':potato:', ':roasted_sweet_potato:', ':croissant:', ':bagel:', ':bread:', ':flatbread:', ':peach:', ':coconut:', ':kiwi_fruit:']"
ample food,[EM]hamburger[EM]hot dog[EM]taco[EM]burrito[EM]sandwich[EM]pizza[EM],"[':hamburger:', ':hot_dog:', ':taco:', ':burrito:', ':sandwich:', ':pizza:']"
ample food,[EM]open hands[EM]face savoring food[EM],"[':open_hands:', ':face_savoring_food:']"
ample supply,[EM]smiling face with smiling eyes[EM]chart increasing[EM],"[':smiling_face_with_smiling_eyes:', ':chart_increasing:']"
ample supply,[EM]family woman woman girl girl[EM]family man man girl girl[EM]family man woman girl girl[EM]chart increasing[EM],"[':family_woman_woman_girl_girl:', ':family_man_man_girl_girl:', ':family_man_woman_girl_girl:', ':chart_increasing:']"
ample supply,[EM]chart decreasing[EM]clipboard[EM]check mark button[EM],"[':chart_decreasing:', ':clipboard:', ':check_mark_button:']"
ample supply,[EM]fork and knife with plate[EM]check mark button[EM],"[':fork_and_knife_with_plate:', ':check_mark_button:']"
ample supply,[EM]OK hand light skin tone[EM]locked[EM],"[':OK_hand_light_skin_tone:', ':locked:']"
ample supply,[EM]green apple[EM]banana[EM]croissant[EM]taco[EM]sandwich[EM]pretzel[EM]cheese wedge[EM]egg[EM]pancakes[EM]leafy green[EM]hot pepper[EM]oden[EM]bubble tea[EM]chestnut[EM]cookie[EM]birthday cake[EM]clinking glasses[EM]ice cream[EM],"[':green_apple:', ':banana:', ':croissant:', ':taco:', ':sandwich:', ':pretzel:', ':cheese_wedge:', ':egg:', ':pancakes:', ':leafy_green:', ':hot_pepper:', ':oden:', ':bubble_tea:', ':chestnut:', ':cookie:', ':birthday_cake:', ':clinking_glasses:', ':ice_cream:']"
ample supply,[EM]woman gesturing OK light skin tone[EM]package[EM],"[':woman_gesturing_OK_light_skin_tone:', ':package:']"
ample supply,[EM]open hands[EM]chart increasing[EM],"[':open_hands:', ':chart_increasing:']"
ample waistline,[EM]smiling face with smiling eyes[EM],[':smiling_face_with_smiling_eyes:']
ample waistline,[EM]pregnant woman[EM]chart increasing[EM],"[':pregnant_woman:', ':chart_increasing:']"
ample waistline,[EM]straight ruler[EM]jeans[EM],"[':straight_ruler:', ':jeans:']"
ample waistline,[EM]fork and knife[EM]fork and knife[EM]spaghetti[EM]Santa Claus[EM],"[':fork_and_knife:', ':fork_and_knife:', ':spaghetti:', ':Santa_Claus:']"
ample waistline,[EM]pinched fingers light skin tone[EM]dress[EM],"[':pinched_fingers_light_skin_tone:', ':dress:']"
